ID,Sender ID,Cl ID,Status,Created At,Updated At,Sender ID Type
1,Mikeberg,1,unblock,2020-04-16T10:45:49Z,2020-04-16T12:02:03Z,sms
2,BERG,1,unblock,2020-04-16T13:19:06Z,2020-04-16T13:19:33Z,sms
4,AUNTY NAANA,1,unblock,2020-05-25T11:44:21Z,2020-07-09T04:38:26Z,sms
5,Gbedi,1,unblock,2020-05-25T12:10:39Z,2020-05-25T12:10:39Z,email
6,Bitlogic,1,unblock,2020-05-25T12:13:50Z,2020-05-25T12:13:50Z,email
8,Eric,9,unblock,2020-06-03T08:42:58Z,2020-06-03T08:44:43Z,sms
10,EvaDBay,17,unblock,2020-06-17T10:16:34Z,2020-06-17T10:20:12Z,sms
11,ChildV2,17,unblock,2020-06-17T10:20:50Z,2020-06-17T10:22:57Z,sms
12,EvaDBay,1,unblock,2020-06-17T10:47:44Z,2020-06-17T10:48:02Z,sms
14,RENT-2-OWN,1,unblock,2020-07-06T05:54:47Z,2020-07-06T06:09:47Z,sms
19,1GAD,26,unblock,2020-07-15T11:41:20Z,2020-07-15T12:03:03Z,sms
21,Nestle,33,unblock,2020-07-16T10:55:42Z,2020-07-16T10:58:05Z,sms
22,CFSC GH,35,unblock,2020-07-30T10:41:32Z,2020-07-30T10:44:17Z,sms
28,Graidup app,34,unblock,2020-08-03T07:35:11Z,2020-08-03T07:38:02Z,sms
29,DixonTech,36,unblock,2020-08-05T03:19:50Z,2020-08-05T13:47:51Z,sms
30,Nestle,35,block,2020-08-08T09:15:40Z,2021-07-07T11:06:38Z,sms
31,SalemFamily,38,unblock,2020-08-12T03:19:07Z,2020-08-12T03:21:00Z,sms
32,SPAMIC,38,unblock,2020-08-12T03:23:50Z,2020-08-12T03:28:05Z,sms
33,SOIS,38,unblock,2020-08-12T03:26:06Z,2020-08-12T03:28:33Z,sms
34,SALEMSCHOOL,38,unblock,2020-08-12T03:36:57Z,2020-08-12T03:37:37Z,sms
35,MIN-DIGITAL,38,unblock,2020-08-12T03:42:39Z,2020-08-12T03:43:15Z,sms
36,MARRIAGE,38,unblock,2020-08-12T03:46:17Z,2020-08-12T03:48:44Z,sms
37,MARRIAGE_CL,38,unblock,2020-08-12T03:46:29Z,2020-08-12T03:49:01Z,sms
38,SalemGlobal,38,unblock,2020-08-12T03:46:50Z,2020-08-12T03:49:16Z,sms
39,SalemGhana,38,unblock,2020-08-12T03:47:16Z,2020-08-12T03:49:28Z,sms
40,Bsp_Israel,38,unblock,2020-08-12T03:47:52Z,2020-08-12T03:49:38Z,sms
41,Bishop_Eze,38,unblock,2020-08-12T03:48:09Z,2020-08-12T03:49:49Z,sms
42,NIA,37,unblock,2020-08-12T09:59:33Z,2020-08-12T10:05:58Z,sms
43,Kwami Baidoo,40,unblock,2020-08-14T09:25:33Z,2020-08-14T09:25:33Z,email
44,CWC,39,unblock,2020-08-14T12:18:30Z,2020-08-14T12:18:30Z,sms
45,TXTCONNECT,43,unblock,2020-08-19T08:53:32Z,2020-08-19T08:53:32Z,sms
46,ForrMe GH,44,unblock,2020-08-19T09:04:01Z,2020-08-19T09:04:01Z,sms
48,Bossman,43,unblock,2020-08-19T11:06:14Z,2020-08-19T11:08:29Z,sms
49,EliteRyde,36,unblock,2020-08-22T10:42:50Z,2020-10-12T11:24:39Z,sms
51,NIA,4,unblock,2020-08-24T13:14:17Z,2020-08-24T13:14:17Z,sms
52,OMANFIELDS,47,unblock,2020-09-02T08:10:08Z,2020-09-02T08:14:30Z,sms
54,txt connect,45,unblock,2020-09-03T09:33:25Z,2020-09-03T09:34:39Z,sms
56,Mnotify,13,unblock,2020-09-04T04:14:32Z,2020-09-04T04:14:54Z,sms
57,MealPlanner,59,unblock,2020-09-10T00:55:22Z,2020-09-10T01:27:50Z,sms
58,txt connect,13,unblock,2020-09-10T04:32:45Z,2020-09-10T04:33:08Z,sms
59,Ha Ha Decor,5594,unblock,2020-09-16T11:40:23Z,2020-09-16T11:41:01Z,sms
60,AppiahDankw,61,unblock,2020-09-22T06:44:26Z,2020-09-22T06:48:21Z,sms
61,txt connect,5613,unblock,2020-09-22T09:11:55Z,2020-10-12T11:25:06Z,sms
62,test-txtcon,13,unblock,2020-09-23T07:02:04Z,2020-09-23T07:03:56Z,sms
63,BC GHANA,5616,unblock,2020-10-02T11:19:33Z,2020-10-02T11:21:35Z,sms
65,MikeBerg,5613,unblock,2020-10-05T14:59:47Z,2020-10-05T15:00:57Z,sms
66,Nivea_GH,5617,unblock,2020-10-07T09:25:52Z,2020-10-07T09:33:59Z,sms
67,Accra Area,5623,unblock,2020-10-08T11:15:14Z,2020-10-08T11:16:45Z,sms
70,NARH-BITA C,5626,unblock,2020-10-09T09:30:32Z,2020-10-09T09:33:05Z,sms
71,AtoChemist,5627,unblock,2020-10-09T10:50:48Z,2020-10-09T10:57:11Z,sms
72,SamahChemis,5627,unblock,2020-10-09T10:51:05Z,2020-10-09T10:57:34Z,sms
73,CSAllotPhar,5627,unblock,2020-10-09T10:51:17Z,2020-10-09T10:57:58Z,sms
74,WorldViewPh,5627,unblock,2020-10-09T10:51:29Z,2020-10-09T10:58:20Z,sms
75,NyahoMedCen,5627,unblock,2020-10-09T10:51:43Z,2020-10-09T10:58:44Z,sms
76,NockChemist,5627,unblock,2020-10-09T10:51:56Z,2020-10-09T10:59:10Z,sms
77,TRUSTHOSP,5627,unblock,2020-10-09T10:52:11Z,2020-10-09T10:59:33Z,sms
78,GRATITUDE,5627,unblock,2020-10-09T10:52:23Z,2020-10-09T11:00:00Z,sms
79,IPHARM,5627,unblock,2020-10-10T15:46:44Z,2020-10-10T16:22:40Z,sms
81,UElections,5636,unblock,2020-10-12T11:21:02Z,2020-10-12T11:22:45Z,sms
82,AIM,5637,unblock,2020-10-13T15:47:24Z,2020-10-13T15:48:40Z,sms
83,Samsung GH,55,unblock,2020-10-14T12:42:30Z,2020-10-14T13:09:59Z,sms
84,Eva,17,unblock,2020-10-14T13:36:45Z,2020-10-14T13:37:44Z,sms
85,GCBBANK ACC,5623,unblock,2020-10-16T09:37:26Z,2020-10-16T09:38:14Z,sms
86,ACI ADENTA,49,unblock,2020-10-19T13:40:36Z,2020-10-19T13:41:12Z,sms
87,SHealthy,48,unblock,2020-10-20T12:03:52Z,2020-10-20T12:05:48Z,sms
88,Infosource,5646,unblock,2020-10-20T13:12:05Z,2020-10-20T13:13:48Z,sms
89,VALIFE,53,unblock,2020-10-21T14:22:26Z,2020-10-21T14:23:49Z,sms
90,La Cocina,5628,unblock,2020-10-22T08:13:49Z,2020-10-22T08:14:35Z,sms
92,FAITHMVMNT,5648,unblock,2020-10-22T09:05:15Z,2020-10-22T09:13:34Z,sms
93,PROPHERIC,5648,unblock,2020-10-22T09:05:30Z,2020-10-22T09:13:49Z,sms
94,FAITH MVMNT,5648,unblock,2020-10-22T09:05:46Z,2020-10-22T09:14:04Z,sms
95,FAITH MOVEM,5648,unblock,2020-10-22T09:06:11Z,2020-10-22T09:14:20Z,sms
96,PROPH ERIC,5648,unblock,2020-10-22T09:06:25Z,2020-10-22T09:13:13Z,sms
97,CocoaAwards,5649,unblock,2020-10-23T08:30:12Z,2020-10-23T08:38:27Z,sms
98,GH COCOA AW,5649,unblock,2020-10-23T08:31:43Z,2020-10-23T08:38:45Z,sms
99,GCA2020,5649,unblock,2020-10-23T08:33:02Z,2020-10-23T08:39:03Z,sms
100,KPGM,5649,unblock,2020-10-23T08:33:29Z,2020-10-23T08:39:19Z,sms
101,UBERGURU,5649,unblock,2020-10-23T08:34:16Z,2020-10-23T08:39:33Z,sms
102,Infosource,5646,unblock,2020-10-26T06:32:10Z,2020-10-26T06:32:57Z,sms
103,Shedike,8713,unblock,2020-10-28T08:17:38Z,2020-10-28T08:19:08Z,sms
104,ICGCTANTRA,51,unblock,2020-10-29T17:58:31Z,2020-10-29T18:01:54Z,sms
105,Four Point,7878,unblock,2020-10-29T19:43:46Z,2020-10-29T20:51:25Z,sms
106,Meeting,7878,unblock,2020-10-29T19:58:32Z,2020-10-29T20:50:06Z,sms
107,Flight Update,7878,unblock,2020-10-29T19:59:08Z,2020-10-29T19:59:08Z,email
108,GOCARD,50,unblock,2020-11-02T14:47:54Z,2020-11-02T14:50:02Z,sms
109,MJ STORES,7878,unblock,2020-11-03T05:06:31Z,2020-11-03T05:12:21Z,sms
110,CARBTEC,8525,unblock,2020-11-03T07:23:07Z,2020-11-03T07:25:27Z,sms
111,Rabito,6630,unblock,2020-11-04T13:00:10Z,2020-11-04T13:02:03Z,sms
114,Testing,6387,unblock,2020-11-06T13:36:29Z,2020-11-09T12:26:09Z,sms
115,RoyalDiadem,9144,unblock,2020-11-07T15:15:04Z,2020-11-09T08:12:02Z,sms
116,CEM CHURCH,7105,unblock,2020-11-09T14:15:22Z,2020-11-09T14:16:34Z,sms
117,YART,9130,unblock,2020-11-10T14:59:10Z,2020-11-10T15:46:41Z,sms
118,Yart Service Station,9130,unblock,2020-11-10T15:00:10Z,2020-11-10T15:00:10Z,email
119,TEAM ASENSO,9283,unblock,2020-11-10T17:10:56Z,2020-11-10T17:12:34Z,sms
120,NPP BANTAMA,9283,unblock,2020-11-10T17:16:09Z,2020-11-10T17:18:48Z,sms
121,ASENSO,9283,unblock,2020-11-10T17:17:28Z,2020-11-10T17:20:18Z,sms
122,AplkDistYPG,7546,unblock,2020-11-12T10:55:03Z,2020-11-12T11:53:53Z,sms
123,Nubuke,52,unblock,2020-11-12T12:07:25Z,2020-11-12T12:08:14Z,sms
125,GCBBANK ACC,13,unblock,2020-11-12T13:24:29Z,2020-11-12T13:24:54Z,sms
126,FEROX,9224,unblock,2020-11-12T15:20:59Z,2020-11-12T15:23:14Z,sms
127,FIDELIO,8945,unblock,2020-11-12T15:47:35Z,2020-11-12T15:48:36Z,sms
